"Flash","Week","pseudoday","passes","Site","pseudodate","precProp","minTemp","date","sunset","sunrise","sunsethour","site","sunset_temp","station","date_time","pressure","pressure0","year","month","day","hour","dateID","TimeofYear","minPress","maxPress","diffPress"
"off","3",13,85,"Anklam","2020.08.14",0,13.9,"2020.08.14","20:36:06","05:44:12",21,"Anklam",19.6,1757,2020081413,1013.1,1012.4,2020,8,14,13,2020081413,13,1012.5,1015.7,3.20000000000005
"off","3",14,95,"Anklam","2020.08.15",0,14.3,"2020.08.15","20:33:56","05:45:58",21,"Anklam",21.2,1757,2020081513,1015.4,1014.7,2020,8,15,13,2020081513,14,1015.3,1016.4,1.10000000000002
"off","3",15,55,"Anklam","2020.08.16",0,14.8,"2020.08.16","20:31:45","05:47:44",21,"Anklam",20.9,1757,2020081613,1014.9,1014.2,2020,8,16,13,2020081613,15,1010.6,1014.9,4.29999999999995
"off","3",16,79,"Anklam","2020.08.17",0,16.5,"2020.08.17","20:29:33","05:49:31",21,"Anklam",22.2,1757,2020081713,1010.4,1009.7,2020,8,17,13,2020081713,16,1008.4,1010.4,2
"off","3",17,69,"Anklam","2020.08.18",0.111111111111111,16.5,"2020.08.18","20:27:20","05:51:17",21,"Anklam",19.4,1757,2020081813,1008.2,1007.5,2020,8,18,13,2020081813,17,1008.2,1011.3,3.09999999999991
"off","3",18,85,"Anklam","2020.08.19",0,13.9,"2020.08.19","20:25:06","05:53:03",21,"Anklam",17.1,1757,2020081913,1010.8,1010,2020,8,19,13,2020081913,18,1010.1,1010.9,0.799999999999955
"off","3",19,111,"Anklam","2020.08.20",0,16.3,"2020.08.20","20:22:51","05:54:50",21,"Anklam",22.8,1757,2020082013,1010.4,1009.7,2020,8,20,13,2020082013,19,1009.9,1011.5,1.60000000000002
NA,NA,20,NA,"Anklam","2020.08.21",0,18,"2020.08.21","20:20:35","05:56:36",21,"Anklam",22.7,1757,2020082113,1010.5,1009.8,2020,8,21,13,2020082113,20,1009.4,1012.2,2.80000000000007
"on","4",21,50,"Anklam","2020.08.22",0,16,"2020.08.22","20:18:18","05:58:23",21,"Anklam",20.5,1757,2020082213,1012.4,1011.6,2020,8,22,13,2020082213,21,1010.9,1013.1,2.20000000000005
"on","4",22,54,"Anklam","2020.08.23",0,14,"2020.08.23","20:16:00","06:00:09",21,"Anklam",18.2,1757,2020082313,1010.7,1009.9,2020,8,23,13,2020082313,22,1010.6,1012.4,1.79999999999995
"on","4",23,22,"Anklam","2020.08.24",0,12.7,"2020.08.24","20:13:41","06:01:56",21,"Anklam",14.8,1757,2020082413,1011.8,1011,2020,8,24,13,2020082413,23,1010.7,1012.6,1.89999999999998
"on","4",24,40,"Anklam","2020.08.25",0.4,14.7,"2020.08.25","20:11:21","06:03:42",21,"Anklam",16.2,1757,2020082513,1012.1,1011.3,2020,8,25,13,2020082513,24,998.1,1012.1,14
"on","4",25,20,"Anklam","2020.08.26",0.8,15.1,"2020.08.26","20:09:01","06:05:29",21,"Anklam",16.7,1757,2020082613,998.1,997.3,2020,8,26,13,2020082613,25,997.7,1010.6,12.9
"on","4",26,30,"Anklam","2020.08.27",0,11.2,"2020.08.27","20:06:40","06:07:15",21,"Anklam",15.2,1757,2020082713,1011.1,1010.3,2020,8,27,13,2020082713,26,1004.3,1011.9,7.60000000000002
"off","5",27,22,"Anklam","2020.08.28",0.3,12.5,"2020.08.28","20:04:19","06:09:02",21,"Anklam",14.7,1757,2020082813,1003.6,1002.8,2020,8,28,13,2020082813,27,1000,1003.6,3.60000000000002
"off","5",28,32,"Anklam","2020.08.29",0,10.1,"2020.08.29","20:01:56","06:10:48",21,"Anklam",12.8,1757,2020082913,1003.7,1002.9,2020,8,29,13,2020082913,28,1003.7,1009.6,5.89999999999998
"off","5",29,33,"Anklam","2020.08.30",0.2,13.8,"2020.08.30","19:59:33","06:12:35",20,"Anklam",16.9,1757,2020083013,1009.5,1008.7,2020,8,30,13,2020083013,29,1009.3,1016,6.70000000000005
NA,NA,30,NA,"Anklam","2020.08.31",0,8.8,"2020.08.31","19:57:10","06:14:21",20,"Anklam",14.3,1757,2020083113,1016.4,1015.6,2020,8,31,13,2020083113,30,1016.4,1019.7,3.30000000000007
NA,NA,31,NA,"Anklam","2020.09.01",0.5,13.2,"2020.09.01","19:54:46","06:16:07",20,"Anklam",14.7,1757,2020090113,1019.5,1018.7,2020,9,1,13,2020090113,31,1016.1,1019.5,3.39999999999998
NA,NA,32,NA,"Anklam","2020.09.02",0.5,12.1,"2020.09.02","19:52:21","06:17:53",20,"Anklam",14.3,1757,2020090213,1015.8,1015,2020,9,2,13,2020090213,32,1015.8,1017.7,1.90000000000009
NA,NA,33,NA,"Anklam","2020.09.03",0.6,15.1,"2020.09.03","19:49:56","06:19:39",20,"Anklam",17.5,1757,2020090313,1017.5,1016.7,2020,9,3,13,2020090313,33,1014.9,1018.3,3.39999999999998
NA,NA,34,NA,"Anklam","2020.09.04",0,13.7,"2020.09.04","19:47:30","06:21:26",20,"Anklam",15.9,1757,2020090413,1018,1017.2,2020,9,4,13,2020090413,34,1013.7,1018.3,4.59999999999991
NA,NA,35,NA,"Anklam","2020.09.05",0,10.8,"2020.09.05","19:45:04","06:23:12",20,"Anklam",13.8,1757,2020090513,1013.7,1012.9,2020,9,5,13,2020090513,35,1013.7,1015.9,2.19999999999993
NA,NA,36,NA,"Anklam","2020.09.06",0.0909090909090909,9.8,"2020.09.06","19:42:38","06:24:58",20,"Anklam",12.8,1757,2020090613,1016.2,1015.4,2020,9,6,13,2020090613,36,1016.2,1021.9,5.69999999999993
NA,NA,37,NA,"Anklam","2020.09.07",0,10.5,"2020.09.07","19:40:11","06:26:44",20,"Anklam",10.5,1757,2020090713,1022,1021.2,2020,9,7,13,2020090713,37,1019.2,1022.7,3.5
NA,NA,38,NA,"Anklam","2020.09.08",0,15.3,"2020.09.08","19:37:44","06:28:30",20,"Anklam",17,1757,2020090813,1020.2,1019.4,2020,9,8,13,2020090813,38,1016.1,1022,5.89999999999998
NA,NA,39,NA,"Anklam","2020.09.09",0.181818181818182,11.9,"2020.09.09","19:35:17","06:30:16",20,"Anklam",19,1757,2020090913,1015.2,1014.4,2020,9,9,13,2020090913,39,1013,1020.4,7.39999999999998
NA,NA,40,NA,"Anklam","2020.09.10",0,6.4,"2020.09.10","19:32:49","06:32:02",20,"Anklam",9.5,1757,2020091013,1020.5,1019.7,2020,9,10,13,2020091013,40,1018.1,1020.5,2.39999999999998
"off","7",41,36,"Anklam","2020.09.11",0,6.1,"2020.09.11","19:30:21","06:33:48",20,"Anklam",12.7,1757,2020091113,1017.8,1017,2020,9,11,13,2020091113,41,1014.8,1017.8,3
