"Flash","Week","pseudoday","passes","Site","pseudodate","precProp","minTemp","date","sunset","sunrise","sunsethour","site","sunset_temp","station","date_time","pressure","pressure0","year","month","day","hour","dateID","TimeofYear","minPress","maxPress","diffPress"
"on","3",13,131,"Demmin","2020.08.14",0,13.6,"2020.08.14","20:38:50","05:46:40",21,"Demmin",21,1757,2020081413,1013.1,1012.4,2020,8,14,13,2020081413,13,1012.5,1015.7,3.20000000000005
"on","3",14,100,"Demmin","2020.08.15",0,14.5,"2020.08.15","20:36:40","05:48:27",21,"Demmin",18.8,1757,2020081513,1015.4,1014.7,2020,8,15,13,2020081513,14,1015.3,1016.4,1.10000000000002
"on","3",15,113,"Demmin","2020.08.16",0,13.1,"2020.08.16","20:34:28","05:50:13",21,"Demmin",18.5,1757,2020081613,1014.9,1014.2,2020,8,16,13,2020081613,15,1010.6,1014.9,4.29999999999995
"on","3",16,138,"Demmin","2020.08.17",0,14.8,"2020.08.17","20:32:16","05:52:00",21,"Demmin",20.6,1757,2020081713,1010.4,1009.7,2020,8,17,13,2020081713,16,1008.4,1010.4,2
"on","3",17,79,"Demmin","2020.08.18",0.333333333333333,17.1,"2020.08.18","20:30:03","05:53:46",21,"Demmin",18.9,1757,2020081813,1008.2,1007.5,2020,8,18,13,2020081813,17,1008.2,1011.3,3.09999999999991
"on","3",18,279,"Demmin","2020.08.19",0,14.7,"2020.08.19","20:27:48","05:55:33",21,"Demmin",18,1757,2020081913,1010.8,1010,2020,8,19,13,2020081913,18,1010.1,1010.9,0.799999999999955
"on","3",19,180,"Demmin","2020.08.20",0,15.8,"2020.08.20","20:25:33","05:57:20",21,"Demmin",21.7,1757,2020082013,1010.4,1009.7,2020,8,20,13,2020082013,19,1009.9,1011.5,1.60000000000002
"off","4",20,136,"Demmin","2020.08.21",0,17.6,"2020.08.21","20:23:17","05:59:06",21,"Demmin",20.9,1757,2020082113,1010.5,1009.8,2020,8,21,13,2020082113,20,1009.4,1012.2,2.80000000000007
"off","4",21,66,"Demmin","2020.08.22",0.2,14.8,"2020.08.22","20:21:00","06:00:53",21,"Demmin",19,1757,2020082213,1012.4,1011.6,2020,8,22,13,2020082213,21,1010.9,1013.1,2.20000000000005
"off","4",22,144,"Demmin","2020.08.23",0.1,13.7,"2020.08.23","20:18:41","06:02:40",21,"Demmin",15.1,1757,2020082313,1010.7,1009.9,2020,8,23,13,2020082313,22,1010.6,1012.4,1.79999999999995
"off","4",23,230,"Demmin","2020.08.24",0.3,12.5,"2020.08.24","20:16:23","06:04:26",21,"Demmin",14.7,1757,2020082413,1011.8,1011,2020,8,24,13,2020082413,23,1010.7,1012.6,1.89999999999998
"off","4",24,136,"Demmin","2020.08.25",0.6,14.8,"2020.08.25","20:14:03","06:06:13",21,"Demmin",16.5,1757,2020082513,1012.1,1011.3,2020,8,25,13,2020082513,24,998.1,1012.1,14
"off","4",25,23,"Demmin","2020.08.26",0.9,14.9,"2020.08.26","20:11:42","06:08:00",21,"Demmin",17.2,1757,2020082613,998.1,997.3,2020,8,26,13,2020082613,25,997.7,1010.6,12.9
"off","4",26,133,"Demmin","2020.08.27",0,11.6,"2020.08.27","20:09:21","06:09:46",21,"Demmin",12.1,1757,2020082713,1011.1,1010.3,2020,8,27,13,2020082713,26,1004.3,1011.9,7.60000000000002
"on","5",27,102,"Demmin","2020.08.28",0.4,12.3,"2020.08.28","20:06:59","06:11:33",21,"Demmin",15.3,1757,2020082813,1003.6,1002.8,2020,8,28,13,2020082813,27,1000,1003.6,3.60000000000002
"on","5",28,291,"Demmin","2020.08.29",0,8.4,"2020.08.29","20:04:37","06:13:20",21,"Demmin",13.8,1757,2020082913,1003.7,1002.9,2020,8,29,13,2020082913,28,1003.7,1009.6,5.89999999999998
"on","5",29,75,"Demmin","2020.08.30",0.1,11.3,"2020.08.30","20:02:14","06:15:06",21,"Demmin",14.7,1757,2020083013,1009.5,1008.7,2020,8,30,13,2020083013,29,1009.3,1016,6.70000000000005
"on","5",30,247,"Demmin","2020.08.31",0.1,7,"2020.08.31","19:59:50","06:16:53",20,"Demmin",13.1,1757,2020083113,1016.4,1015.6,2020,8,31,13,2020083113,30,1016.4,1019.7,3.30000000000007
"on","5",31,48,"Demmin","2020.09.01",0.7,12.3,"2020.09.01","19:57:26","06:18:39",20,"Demmin",14.7,1757,2020090113,1019.5,1018.7,2020,9,1,13,2020090113,31,1016.1,1019.5,3.39999999999998
"on","5",32,40,"Demmin","2020.09.02",0.2,11.3,"2020.09.02","19:55:01","06:20:25",20,"Demmin",14.2,1757,2020090213,1015.8,1015,2020,9,2,13,2020090213,32,1015.8,1017.7,1.90000000000009
"on","5",33,96,"Demmin","2020.09.03",0.8,14.4,"2020.09.03","19:52:36","06:22:12",20,"Demmin",17.6,1757,2020090313,1017.5,1016.7,2020,9,3,13,2020090313,33,1014.9,1018.3,3.39999999999998
"off","6",34,188,"Demmin","2020.09.04",0,13.8,"2020.09.04","19:50:10","06:23:58",20,"Demmin",16.3,1757,2020090413,1018,1017.2,2020,9,4,13,2020090413,34,1013.7,1018.3,4.59999999999991
"off","6",35,199,"Demmin","2020.09.05",0,10.7,"2020.09.05","19:47:44","06:25:45",20,"Demmin",14.1,1757,2020090513,1013.7,1012.9,2020,9,5,13,2020090513,35,1013.7,1015.9,2.19999999999993
