"Flash","Week","pseudoday","passes","Site","pseudodate","precProp","minTemp","date","sunset","sunrise","sunsethour","site","sunset_temp","station","date_time","pressure","pressure0","year","month","day","hour","dateID","TimeofYear","minPress","maxPress","diffPress"
"off","3",13,198,"Friedland","2020.08.14",0,15.7,"2020.08.14","20:36:03","05:45:18",21,"Friedland",22.5,1757,2020081413,1013.1,1012.4,2020,8,14,13,2020081413,13,1012.5,1015.7,3.20000000000005
"off","3",14,49,"Friedland","2020.08.15",0,18.1,"2020.08.15","20:33:54","05:47:03",21,"Friedland",20.8,1757,2020081513,1015.4,1014.7,2020,8,15,13,2020081513,14,1015.3,1016.4,1.10000000000002
"off","3",15,177,"Friedland","2020.08.16",0,15.5,"2020.08.16","20:31:43","05:48:48",21,"Friedland",19.3,1757,2020081613,1014.9,1014.2,2020,8,16,13,2020081613,15,1010.6,1014.9,4.29999999999995
"off","3",16,128,"Friedland","2020.08.17",0,16.3,"2020.08.17","20:29:32","05:50:34",21,"Friedland",22.2,1757,2020081713,1010.4,1009.7,2020,8,17,13,2020081713,16,1008.4,1010.4,2
"off","3",17,58,"Friedland","2020.08.18",0.111111111111111,15.6,"2020.08.18","20:27:20","05:52:19",21,"Friedland",19.2,1757,2020081813,1008.2,1007.5,2020,8,18,13,2020081813,17,1008.2,1011.3,3.09999999999991
"off","3",18,118,"Friedland","2020.08.19",0,16.4,"2020.08.19","20:25:07","05:54:05",21,"Friedland",16.9,1757,2020081913,1010.8,1010,2020,8,19,13,2020081913,18,1010.1,1010.9,0.799999999999955
"off","3",19,187,"Friedland","2020.08.20",0,17.1,"2020.08.20","20:22:52","05:55:50",21,"Friedland",26.1,1757,2020082013,1010.4,1009.7,2020,8,20,13,2020082013,19,1009.9,1011.5,1.60000000000002
"on","4",20,13,"Friedland","2020.08.21",0.2,19.6,"2020.08.21","20:20:37","05:57:36",21,"Friedland",23.3,1757,2020082113,1010.5,1009.8,2020,8,21,13,2020082113,20,1009.4,1012.2,2.80000000000007
"on","4",21,161,"Friedland","2020.08.22",0,16.9,"2020.08.22","20:18:21","05:59:22",21,"Friedland",21.3,1757,2020082213,1012.4,1011.6,2020,8,22,13,2020082213,21,1010.9,1013.1,2.20000000000005
"on","4",22,106,"Friedland","2020.08.23",0,14.4,"2020.08.23","20:16:04","06:01:07",21,"Friedland",17.4,1757,2020082313,1010.7,1009.9,2020,8,23,13,2020082313,22,1010.6,1012.4,1.79999999999995
"on","4",23,119,"Friedland","2020.08.24",0.2,13,"2020.08.24","20:13:46","06:02:53",21,"Friedland",14.7,1757,2020082413,1011.8,1011,2020,8,24,13,2020082413,23,1010.7,1012.6,1.89999999999998
"on","4",24,93,"Friedland","2020.08.25",0.6,14.8,"2020.08.25","20:11:27","06:04:39",21,"Friedland",16.8,1757,2020082513,1012.1,1011.3,2020,8,25,13,2020082513,24,998.1,1012.1,14
"on","4",25,68,"Friedland","2020.08.26",0.6,14.4,"2020.08.26","20:09:08","06:06:24",21,"Friedland",17,1757,2020082613,998.1,997.3,2020,8,26,13,2020082613,25,997.7,1010.6,12.9
"on","4",26,98,"Friedland","2020.08.27",0.1,11.6,"2020.08.27","20:06:48","06:08:10",21,"Friedland",13.5,1757,2020082713,1011.1,1010.3,2020,8,27,13,2020082713,26,1004.3,1011.9,7.60000000000002
"off","5",27,30,"Friedland","2020.08.28",0.3,12,"2020.08.28","20:04:27","06:09:55",21,"Friedland",16.4,1757,2020082813,1003.6,1002.8,2020,8,28,13,2020082813,27,1000,1003.6,3.60000000000002
"off","5",28,30,"Friedland","2020.08.29",0,10.2,"2020.08.29","20:02:06","06:11:41",21,"Friedland",14.3,1757,2020082913,1003.7,1002.9,2020,8,29,13,2020082913,28,1003.7,1009.6,5.89999999999998
"off","5",29,27,"Friedland","2020.08.30",0,13.2,"2020.08.30","19:59:44","06:13:26",20,"Friedland",17,1757,2020083013,1009.5,1008.7,2020,8,30,13,2020083013,29,1009.3,1016,6.70000000000005
"off","5",30,100,"Friedland","2020.08.31",0,9.1,"2020.08.31","19:57:21","06:15:12",20,"Friedland",14.1,1757,2020083113,1016.4,1015.6,2020,8,31,13,2020083113,30,1016.4,1019.7,3.30000000000007
"off","5",31,29,"Friedland","2020.09.01",0.4,12.4,"2020.09.01","19:54:58","06:16:57",20,"Friedland",13.2,1757,2020090113,1019.5,1018.7,2020,9,1,13,2020090113,31,1016.1,1019.5,3.39999999999998
"off","5",32,34,"Friedland","2020.09.02",0.4,12.2,"2020.09.02","19:52:34","06:18:42",20,"Friedland",13.7,1757,2020090213,1015.8,1015,2020,9,2,13,2020090213,32,1015.8,1017.7,1.90000000000009
