"Flash","Week","pseudoday","passes","Site","pseudodate","precProp","minTemp","date","sunset","sunrise","sunsethour","site","sunset_temp","station","date_time","pressure","pressure0","year","month","day","hour","dateID","TimeofYear","minPress","maxPress","diffPress"
"on","3",13,254,"Peenemuende","2020.08.14",0,13.2,"2020.08.14","20:36:36","05:42:45",21,"Peenemuende",20,1757,2020081413,1013.1,1012.4,2020,8,14,13,2020081413,13,1012.5,1015.7,3.20000000000005
"on","3",14,297,"Peenemuende","2020.08.15",0,14.3,"2020.08.15","20:34:25","05:44:32",21,"Peenemuende",21.4,1757,2020081513,1015.4,1014.7,2020,8,15,13,2020081513,14,1015.3,1016.4,1.10000000000002
"on","3",15,220,"Peenemuende","2020.08.16",0,11.2,"2020.08.16","20:32:12","05:46:20",21,"Peenemuende",21.8,1757,2020081613,1014.9,1014.2,2020,8,16,13,2020081613,15,1010.6,1014.9,4.29999999999995
"on","3",16,281,"Peenemuende","2020.08.17",0,15.7,"2020.08.17","20:29:59","05:48:08",21,"Peenemuende",22.8,1757,2020081713,1010.4,1009.7,2020,8,17,13,2020081713,16,1008.4,1010.4,2
"on","3",17,199,"Peenemuende","2020.08.18",0,17.8,"2020.08.18","20:27:44","05:49:56",21,"Peenemuende",19.6,1757,2020081813,1008.2,1007.5,2020,8,18,13,2020081813,17,1008.2,1011.3,3.09999999999991
"on","3",18,259,"Peenemuende","2020.08.19",0,12.7,"2020.08.19","20:25:28","05:51:44",21,"Peenemuende",15.4,1757,2020081913,1010.8,1010,2020,8,19,13,2020081913,18,1010.1,1010.9,0.799999999999955
"on","3",19,228,"Peenemuende","2020.08.20",0,14.9,"2020.08.20","20:23:12","05:53:32",21,"Peenemuende",21.7,1757,2020082013,1010.4,1009.7,2020,8,20,13,2020082013,19,1009.9,1011.5,1.60000000000002
"off","4",20,228,"Peenemuende","2020.08.21",0.2,16.6,"2020.08.21","20:20:54","05:55:20",21,"Peenemuende",21.8,1757,2020082113,1010.5,1009.8,2020,8,21,13,2020082113,20,1009.4,1012.2,2.80000000000007
"off","4",21,241,"Peenemuende","2020.08.22",0,16.1,"2020.08.22","20:18:36","05:57:08",21,"Peenemuende",16.1,1757,2020082213,1012.4,1011.6,2020,8,22,13,2020082213,21,1010.9,1013.1,2.20000000000005
"off","4",22,176,"Peenemuende","2020.08.23",0,13.8,"2020.08.23","20:16:16","05:58:56",21,"Peenemuende",15.9,1757,2020082313,1010.7,1009.9,2020,8,23,13,2020082313,22,1010.6,1012.4,1.79999999999995
"off","4",23,206,"Peenemuende","2020.08.24",0.1,12.8,"2020.08.24","20:13:56","06:00:44",21,"Peenemuende",14.8,1757,2020082413,1011.8,1011,2020,8,24,13,2020082413,23,1010.7,1012.6,1.89999999999998
"off","4",24,194,"Peenemuende","2020.08.25",0.6,14.7,"2020.08.25","20:11:35","06:02:32",21,"Peenemuende",15.8,1757,2020082513,1012.1,1011.3,2020,8,25,13,2020082513,24,998.1,1012.1,14
"off","4",25,109,"Peenemuende","2020.08.26",0.5,15.5,"2020.08.26","20:09:13","06:04:20",21,"Peenemuende",17.2,1757,2020082613,998.1,997.3,2020,8,26,13,2020082613,25,997.7,1010.6,12.9
"off","4",26,204,"Peenemuende","2020.08.27",0,11.4,"2020.08.27","20:06:51","06:06:08",21,"Peenemuende",14.6,1757,2020082713,1011.1,1010.3,2020,8,27,13,2020082713,26,1004.3,1011.9,7.60000000000002
"on","5",27,204,"Peenemuende","2020.08.28",0.4,11.4,"2020.08.28","20:04:28","06:07:56",21,"Peenemuende",13.5,1757,2020082813,1003.6,1002.8,2020,8,28,13,2020082813,27,1000,1003.6,3.60000000000002
"on","5",28,229,"Peenemuende","2020.08.29",0,8.6,"2020.08.29","20:02:04","06:09:43",21,"Peenemuende",14.8,1757,2020082913,1003.7,1002.9,2020,8,29,13,2020082913,28,1003.7,1009.6,5.89999999999998
"on","5",29,193,"Peenemuende","2020.08.30",0.2,15.7,"2020.08.30","19:59:40","06:11:31",20,"Peenemuende",17.4,1757,2020083013,1009.5,1008.7,2020,8,30,13,2020083013,29,1009.3,1016,6.70000000000005
"on","5",30,178,"Peenemuende","2020.08.31",0,8.8,"2020.08.31","19:57:15","06:13:19",20,"Peenemuende",12,1757,2020083113,1016.4,1015.6,2020,8,31,13,2020083113,30,1016.4,1019.7,3.30000000000007
"on","5",31,133,"Peenemuende","2020.09.01",0.5,14.3,"2020.09.01","19:54:49","06:15:07",20,"Peenemuende",16.4,1757,2020090113,1019.5,1018.7,2020,9,1,13,2020090113,31,1016.1,1019.5,3.39999999999998
"on","5",32,72,"Peenemuende","2020.09.02",0.4,13.2,"2020.09.02","19:52:23","06:16:54",20,"Peenemuende",14.8,1757,2020090213,1015.8,1015,2020,9,2,13,2020090213,32,1015.8,1017.7,1.90000000000009
"on","5",33,99,"Peenemuende","2020.09.03",0.3,15,"2020.09.03","19:49:57","06:18:42",20,"Peenemuende",17.1,1757,2020090313,1017.5,1016.7,2020,9,3,13,2020090313,33,1014.9,1018.3,3.39999999999998
"off","6",34,153,"Peenemuende","2020.09.04",0,13.5,"2020.09.04","19:47:30","06:20:30",20,"Peenemuende",14.1,1757,2020090413,1018,1017.2,2020,9,4,13,2020090413,34,1013.7,1018.3,4.59999999999991
"off","6",35,152,"Peenemuende","2020.09.05",0,11,"2020.09.05","19:45:02","06:22:17",20,"Peenemuende",14.7,1757,2020090513,1013.7,1012.9,2020,9,5,13,2020090513,35,1013.7,1015.9,2.19999999999993
"off","6",36,111,"Peenemuende","2020.09.06",0.363636363636364,9.5,"2020.09.06","19:42:34","06:24:05",20,"Peenemuende",11.8,1757,2020090613,1016.2,1015.4,2020,9,6,13,2020090613,36,1016.2,1021.9,5.69999999999993
"off","6",37,175,"Peenemuende","2020.09.07",0,8.2,"2020.09.07","19:40:06","06:25:52",20,"Peenemuende",10.2,1757,2020090713,1022,1021.2,2020,9,7,13,2020090713,37,1019.2,1022.7,3.5
"off","6",38,168,"Peenemuende","2020.09.08",0,14.2,"2020.09.08","19:37:38","06:27:40",20,"Peenemuende",17.8,1757,2020090813,1020.2,1019.4,2020,9,8,13,2020090813,38,1016.1,1022,5.89999999999998
"off","6",39,23,"Peenemuende","2020.09.09",0.181818181818182,10.1,"2020.09.09","19:35:09","06:29:27",20,"Peenemuende",16.5,1757,2020090913,1015.2,1014.4,2020,9,9,13,2020090913,39,1013,1020.4,7.39999999999998
NA,NA,40,NA,"Peenemuende","2020.09.10",0,5.7,"2020.09.10","19:32:40","06:31:15",20,"Peenemuende",8.6,1757,2020091013,1020.5,1019.7,2020,9,10,13,2020091013,40,1018.1,1020.5,2.39999999999998
"on","7",41,218,"Peenemuende","2020.09.11",0,5.6,"2020.09.11","19:30:10","06:33:02",20,"Peenemuende",11.3,1757,2020091113,1017.8,1017,2020,9,11,13,2020091113,41,1014.8,1017.8,3
"on","7",42,88,"Peenemuende","2020.09.12",0,11.6,"2020.09.12","19:27:41","06:34:50",20,"Peenemuende",16.3,1757,2020091213,1014.8,1014,2020,9,12,13,2020091213,42,1014.8,1023.9,9.10000000000002
"on","7",43,198,"Peenemuende","2020.09.13",0,12.6,"2020.09.13","19:25:11","06:36:37",20,"Peenemuende",17,1757,2020091313,1022.8,1022,2020,9,13,13,2020091313,43,1022.7,1027.8,5.09999999999991
"on","7",44,166,"Peenemuende","2020.09.14",0,11.3,"2020.09.14","19:22:41","06:38:25",20,"Peenemuende",15.5,1757,2020091413,1026.7,1025.9,2020,9,14,13,2020091413,44,1020.8,1026.7,5.90000000000009
"on","7",45,171,"Peenemuende","2020.09.15",0,11.9,"2020.09.15","19:20:11","06:40:13",20,"Peenemuende",17.2,1757,2020091513,1020.1,1019.4,2020,9,15,13,2020091513,45,1016,1020.1,4.10000000000002
"on","7",46,128,"Peenemuende","2020.09.16",0,12.9,"2020.09.16","19:17:41","06:42:00",20,"Peenemuende",17.8,1757,2020091613,1016.2,1015.4,2020,9,16,13,2020091613,46,1016.2,1030.7,14.5
"on","7",47,182,"Peenemuende","2020.09.17",0,2,"2020.09.17","19:15:11","06:43:48",20,"Peenemuende",11,1757,2020091713,1030.8,1030,2020,9,17,13,2020091713,47,1030.1,1031.2,1.10000000000014
"off","8",48,231,"Peenemuende","2020.09.18",0,0.1,"2020.09.18","19:12:41","06:45:36",20,"Peenemuende",7.9,1757,2020091813,1029.9,1029.1,2020,9,18,13,2020091813,48,1025,1029.9,4.90000000000009
"off","8",49,129,"Peenemuende","2020.09.19",0,3.7,"2020.09.19","19:10:10","06:47:24",20,"Peenemuende",10.6,1757,2020091913,1024.6,1023.8,2020,9,19,13,2020091913,49,1021.7,1024.6,2.89999999999986
"off","8",50,161,"Peenemuende","2020.09.20",0.25,4.9,"2020.09.20","19:07:40","06:49:12",20,"Peenemuende",10.4,1757,2020092013,1021.1,1020.3,2020,9,20,13,2020092013,50,1018.6,1021.2,2.60000000000002
"off","8",51,144,"Peenemuende","2020.09.21",0,5.2,"2020.09.21","19:05:10","06:51:00",20,"Peenemuende",9.6,1757,2020092113,1018.1,1017.3,2020,9,21,13,2020092113,51,1010.5,1018.1,7.60000000000002
"off","8",52,158,"Peenemuende","2020.09.22",0,8.4,"2020.09.22","19:02:40","06:52:49",20,"Peenemuende",13.7,1757,2020092213,1010.1,1009.3,2020,9,22,13,2020092213,52,1004.2,1010.1,5.89999999999998
"off","8",53,154,"Peenemuende","2020.09.23",0,9.3,"2020.09.23","19:00:10","06:54:37",20,"Peenemuende",14.5,1757,2020092313,1004,1003.3,2020,9,23,13,2020092313,53,1000.5,1004,3.5
"off","8",54,109,"Peenemuende","2020.09.24",0.0833333333333333,9.1,"2020.09.24","18:57:40","06:56:26",19,"Peenemuende",12,1757,2020092413,1003.3,1002.5,2020,9,24,13,2020092413,54,995.3,1004.8,9.5
"on","9",55,94,"Peenemuende","2020.09.25",0.166666666666667,6.7,"2020.09.25","18:55:10","06:58:15",19,"Peenemuende",13.5,1757,2020092513,995.2,994.4,2020,9,25,13,2020092513,55,994.8,997.2,2.40000000000009
"on","9",56,24,"Peenemuende","2020.09.26",0.166666666666667,10.6,"2020.09.26","18:52:40","07:00:04",19,"Peenemuende",17.7,1757,2020092613,994.7,993.9,2020,9,26,13,2020092613,56,991.2,1002.7,11.5
"on","9",57,21,"Peenemuende","2020.09.27",0.666666666666667,10.4,"2020.09.27","18:50:11","07:01:53",19,"Peenemuende",10.5,1757,2020092713,1002.9,1002.1,2020,9,27,13,2020092713,57,1002.9,1012,9.10000000000002
"on","9",58,57,"Peenemuende","2020.09.28",0,5.9,"2020.09.28","18:47:41","07:03:42",19,"Peenemuende",9.6,1757,2020092813,1011.6,1010.8,2020,9,28,13,2020092813,58,1011.6,1017,5.39999999999998
"on","9",59,76,"Peenemuende","2020.09.29",0,5.7,"2020.09.29","18:45:12","07:05:32",19,"Peenemuende",12.3,1757,2020092913,1016.7,1015.9,2020,9,29,13,2020092913,59,1016.3,1018,1.70000000000005
"on","9",60,46,"Peenemuende","2020.09.30",0,12.3,"2020.09.30","18:42:44","07:07:22",19,"Peenemuende",15.2,1757,2020093013,1016.2,1015.4,2020,9,30,13,2020093013,60,1007.1,1016.2,9.10000000000002
"on","9",61,52,"Peenemuende","2020.10.01",0,12.9,"2020.10.01","18:40:15","07:09:12",19,"Peenemuende",13.7,1757,2020100113,1006.3,1005.5,2020,10,1,13,2020100113,61,1003.2,1006.3,3.09999999999991
"off","10",62,17,"Peenemuende","2020.10.02",0,14.4,"2020.10.02","18:37:47","07:11:02",19,"Peenemuende",15.2,1757,2020100213,1004.1,1003.3,2020,10,2,13,2020100213,62,996.1,1004.1,8
"off","10",63,38,"Peenemuende","2020.10.03",0.230769230769231,13.6,"2020.10.03","18:35:20","07:12:53",19,"Peenemuende",16.8,1757,2020100313,995.6,994.8,2020,10,3,13,2020100313,63,992.3,996.3,4
"off","10",64,67,"Peenemuende","2020.10.04",0,6.2,"2020.10.04","18:32:53","07:14:44",19,"Peenemuende",11,1757,2020100413,997,996.2,2020,10,4,13,2020100413,64,997,1006,9
"off","10",65,22,"Peenemuende","2020.10.05",0,6.7,"2020.10.05","18:30:26","07:16:35",19,"Peenemuende",13.8,1757,2020100513,1002.5,1001.7,2020,10,5,13,2020100513,65,1001,1002.5,1.5
"off","10",66,50,"Peenemuende","2020.10.06",0.0769230769230769,10.6,"2020.10.06","18:27:59","07:18:26",19,"Peenemuende",11.9,1757,2020100613,1000.7,999.9,2020,10,6,13,2020100613,66,999.9,1006.2,6.30000000000007
"off","10",67,50,"Peenemuende","2020.10.07",0,10.5,"2020.10.07","18:25:34","07:20:18",19,"Peenemuende",11.5,1757,2020100713,1006.4,1005.6,2020,10,7,13,2020100713,67,1006.4,1014.8,8.39999999999998
