Video file,Day,Month,Year,Date,Time,Event,EventC,Direction,Social,Flash,Site,Week,TimeofYear
snip_2020_08_14_23_29_06_in.mp4,14,8,2020,14/08/2020,22:30:01,LS1 Einflug,1,up,0,yes,Demmin,3,13
snip_2020_08_15_00_04_55_in.mp4,14,8,2020,14/08/2020,23:05:50,LS1 Einflug,1,up,0,yes,Demmin,3,13
snip_2020_08_15_00_37_41_in.mp4,14,8,2020,14/08/2020,23:38:36,LS1 Einflug,1,up,0,yes,Demmin,3,13
snip_2020_08_15_00_42_41_in.mp4,14,8,2020,14/08/2020,23:43:36,LS1 Einflug,1,up,0,yes,Demmin,3,13
snip_2020_08_15_00_46_15_in.mp4,14,8,2020,14/08/2020,23:47:10,LS1 Einflug,1,up,0,yes,Demmin,3,13
snip_2020_08_15_00_47_03_in.mp4,14,8,2020,14/08/2020,23:47:58,LS1 Einflug,1,up,0,yes,Demmin,3,13
snip_2020_08_15_01_07_23_in.mp4,15,8,2020,15/08/2020,0:08:18,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_01_11_42_in.mp4,15,8,2020,15/08/2020,0:12:37,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_01_16_14_in.mp4,15,8,2020,15/08/2020,0:17:09,LS1 Einflug,1,up,1,yes,Demmin,3,14
snip_2020_08_15_01_33_09_in.mp4,15,8,2020,15/08/2020,0:34:04,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_01_35_05_in.mp4,15,8,2020,15/08/2020,0:36:00,LS1 Einflug,1,loop,0,yes,Demmin,3,14
snip_2020_08_15_01_43_04_in.mp4,15,8,2020,15/08/2020,0:43:59,LS1 Einflug,1,loop,0,yes,Demmin,3,14
snip_2020_08_15_01_43_25_in.mp4,15,8,2020,15/08/2020,0:44:20,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_01_43_42_in.mp4,15,8,2020,15/08/2020,0:44:37,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_01_44_06_in.mp4,15,8,2020,15/08/2020,0:45:01,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_01_44_45_in.mp4,15,8,2020,15/08/2020,0:45:40,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_01_45_20_in.mp4,15,8,2020,15/08/2020,0:46:15,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_01_46_25_in.mp4,15,8,2020,15/08/2020,0:47:20,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_01_47_08_in.mp4,15,8,2020,15/08/2020,0:48:03,LS1 Einflug,1,loop,0,yes,Demmin,3,14
snip_2020_08_15_01_47_50_in.mp4,15,8,2020,15/08/2020,0:48:45,LS1 Einflug,1,loop,1,yes,Demmin,3,14
snip_2020_08_15_01_51_33_in.mp4,15,8,2020,15/08/2020,0:52:28,LS1 Einflug,1,up,1,yes,Demmin,3,14
snip_2020_08_15_01_52_47_in.mp4,15,8,2020,15/08/2020,0:53:41,LS1 Einflug,1,up,1,yes,Demmin,3,14
snip_2020_08_15_01_55_28_in.mp4,15,8,2020,15/08/2020,0:56:23,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_01_55_49_in.mp4,15,8,2020,15/08/2020,0:56:43,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_01_56_13_in.mp4,15,8,2020,15/08/2020,0:57:08,LS1 Einflug,1,up,1,yes,Demmin,3,14
snip_2020_08_15_01_56_35_in.mp4,15,8,2020,15/08/2020,0:57:30,LS1 Einflug,1,loop,1,yes,Demmin,3,14
snip_2020_08_15_02_01_24_in.mp4,15,8,2020,15/08/2020,1:02:19,LS1 Einflug,1,up,1,yes,Demmin,3,14
snip_2020_08_15_02_01_50_in.mp4,15,8,2020,15/08/2020,1:02:45,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_02_02_28_in.mp4,15,8,2020,15/08/2020,1:03:23,LS1 Einflug,1,up,1,yes,Demmin,3,14
snip_2020_08_15_02_05_00_in.mp4,15,8,2020,15/08/2020,1:05:55,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_02_06_04_in.mp4,15,8,2020,15/08/2020,1:06:59,LS1 Einflug,1,up,1,yes,Demmin,3,14
snip_2020_08_15_02_06_47_in.mp4,15,8,2020,15/08/2020,1:07:41,LS1 Einflug,1,up,1,yes,Demmin,3,14
snip_2020_08_15_02_10_36_in.mp4,15,8,2020,15/08/2020,1:11:31,LS1 Einflug,1,loop,1,yes,Demmin,3,14
snip_2020_08_15_02_13_48_in.mp4,15,8,2020,15/08/2020,1:14:43,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_02_19_32_in.mp4,15,8,2020,15/08/2020,1:20:27,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_02_19_45_in.mp4,15,8,2020,15/08/2020,1:20:40,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_02_35_36_in.mp4,15,8,2020,15/08/2020,1:36:32,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_02_35_40_in.mp4,15,8,2020,15/08/2020,1:36:36,LS1 Einflug,1,loop,1,yes,Demmin,3,14
snip_2020_08_15_02_36_19_in.mp4,15,8,2020,15/08/2020,1:37:15,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_02_36_26_in.mp4,15,8,2020,15/08/2020,1:37:22,LS1 Einflug,1,up,1,yes,Demmin,3,14
snip_2020_08_15_02_37_20_in.mp4,15,8,2020,15/08/2020,1:38:16,LS1 Einflug,1,up,1,yes,Demmin,3,14
snip_2020_08_15_02_37_32_in.mp4,15,8,2020,15/08/2020,1:38:28,LS1 Einflug,1,loop,1,yes,Demmin,3,14
snip_2020_08_15_02_58_23_in.mp4,15,8,2020,15/08/2020,1:59:19,LS1 Einflug,1,up,1,yes,Demmin,3,14
snip_2020_08_15_03_15_08_in.mp4,15,8,2020,15/08/2020,2:16:04,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_03_20_33_in.mp4,15,8,2020,15/08/2020,2:21:29,LS1 Einflug,1,up,1,yes,Demmin,3,14
snip_2020_08_15_03_20_42_in.mp4,15,8,2020,15/08/2020,2:21:38,LS1 Einflug,1,up,1,yes,Demmin,3,14
snip_2020_08_15_03_21_06_in.mp4,15,8,2020,15/08/2020,2:22:02,LS1 Einflug,1,loop,1,yes,Demmin,3,14
snip_2020_08_15_03_40_02_in.mp4,15,8,2020,15/08/2020,2:40:58,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_03_51_47_in.mp4,15,8,2020,15/08/2020,2:52:43,LS1 Einflug,1,up,1,yes,Demmin,3,14
snip_2020_08_15_03_52_28_in.mp4,15,8,2020,15/08/2020,2:53:24,LS1 Einflug,1,up,1,yes,Demmin,3,14
snip_2020_08_15_03_54_28_in.mp4,15,8,2020,15/08/2020,2:55:24,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_03_54_57_in.mp4,15,8,2020,15/08/2020,2:55:53,LS1 Einflug,1,up,1,yes,Demmin,3,14
snip_2020_08_15_04_01_42_in.mp4,15,8,2020,15/08/2020,3:02:38,LS1 Einflug,1,up,1,yes,Demmin,3,14
snip_2020_08_15_04_09_34_in.mp4,15,8,2020,15/08/2020,3:10:30,LS1 Einflug,1,down,0,yes,Demmin,3,14
snip_2020_08_15_04_15_37_in.mp4,15,8,2020,15/08/2020,3:16:33,LS1 Einflug,1,right,0,yes,Demmin,3,14
snip_2020_08_15_04_26_12_in.mp4,15,8,2020,15/08/2020,3:27:08,LS1 Einflug,1,right,0,yes,Demmin,3,14
snip_2020_08_15_04_32_37_in.mp4,15,8,2020,15/08/2020,3:33:33,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_04_35_04_in.mp4,15,8,2020,15/08/2020,3:36:00,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_04_39_34_in.mp4,15,8,2020,15/08/2020,3:40:30,LS1 Einflug,1,loop,0,yes,Demmin,3,14
snip_2020_08_15_04_45_57_in.mp4,15,8,2020,15/08/2020,3:46:53,LS1 Einflug,1,up,1,yes,Demmin,3,14
snip_2020_08_15_04_46_16_in.mp4,15,8,2020,15/08/2020,3:47:12,LS1 Einflug,1,up,1,yes,Demmin,3,14
snip_2020_08_15_04_46_36_in.mp4,15,8,2020,15/08/2020,3:47:32,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_04_47_25_in.mp4,15,8,2020,15/08/2020,3:48:21,LS1 Einflug,1,loop,0,yes,Demmin,3,14
snip_2020_08_15_04_54_05_in.mp4,15,8,2020,15/08/2020,3:55:01,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_15_04_59_02_in.mp4,15,8,2020,15/08/2020,3:59:58,LS1 Einflug,1,up,1,yes,Demmin,3,14
snip_2020_08_15_21_06_35_in.mp4,15,8,2020,15/08/2020,20:07:36,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_16_00_25_24_in.mp4,15,8,2020,15/08/2020,23:26:27,LS1 Einflug,1,up,1,yes,Demmin,3,14
snip_2020_08_16_00_29_08_in.mp4,15,8,2020,15/08/2020,23:30:10,LS1 Einflug,1,up,1,yes,Demmin,3,14
snip_2020_08_16_00_40_39_in.mp4,15,8,2020,15/08/2020,23:41:42,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_16_00_43_33_in.mp4,15,8,2020,15/08/2020,23:44:36,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_16_00_51_36_in.mp4,15,8,2020,15/08/2020,23:52:39,LS1 Einflug,1,up,0,yes,Demmin,3,14
snip_2020_08_16_00_58_28_in.mp4,15,8,2020,15/08/2020,23:59:30,LS1 Einflug,1,right,0,yes,Demmin,3,14
snip_2020_08_16_01_15_17_in.mp4,16,8,2020,16/08/2020,0:16:20,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_01_20_42_in.mp4,16,8,2020,16/08/2020,0:21:44,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_01_28_30_in.mp4,16,8,2020,16/08/2020,0:29:32,LS1 Einflug,1,loop,1,yes,Demmin,3,15
snip_2020_08_16_01_28_33_in.mp4,16,8,2020,16/08/2020,0:29:36,LS1 Einflug,1,up,1,yes,Demmin,3,15
snip_2020_08_16_01_39_49_in.mp4,16,8,2020,16/08/2020,0:40:51,LS1 Einflug,1,loop,0,yes,Demmin,3,15
snip_2020_08_16_01_40_01_in.mp4,16,8,2020,16/08/2020,0:41:03,LS1 Einflug,1,loop,1,yes,Demmin,3,15
snip_2020_08_16_01_42_15_in.mp4,16,8,2020,16/08/2020,0:43:17,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_01_55_42_in.mp4,16,8,2020,16/08/2020,0:56:44,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_01_57_52_in.mp4,16,8,2020,16/08/2020,0:58:55,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_02_07_09_in.mp4,16,8,2020,16/08/2020,1:08:12,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_02_09_25_in.mp4,16,8,2020,16/08/2020,1:10:28,LS1 Einflug,1,up,1,yes,Demmin,3,15
snip_2020_08_16_02_10_05_in.mp4,16,8,2020,16/08/2020,1:11:07,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_02_12_52_in.mp4,16,8,2020,16/08/2020,1:13:55,LS1 Einflug,1,up,1,yes,Demmin,3,15
snip_2020_08_16_02_13_10_in.mp4,16,8,2020,16/08/2020,1:14:13,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_02_14_04_in.mp4,16,8,2020,16/08/2020,1:15:06,LS1 Einflug,1,up,1,yes,Demmin,3,15
snip_2020_08_16_02_16_06_in.mp4,16,8,2020,16/08/2020,1:17:08,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_02_16_46_in.mp4,16,8,2020,16/08/2020,1:17:48,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_02_26_08_in.mp4,16,8,2020,16/08/2020,1:27:10,LS1 Einflug,1,up,1,yes,Demmin,3,15
snip_2020_08_16_02_33_17_in.mp4,16,8,2020,16/08/2020,1:34:19,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_02_35_44_in.mp4,16,8,2020,16/08/2020,1:36:47,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_02_42_27_in.mp4,16,8,2020,16/08/2020,1:43:30,LS1 Einflug,1,up,1,yes,Demmin,3,15
snip_2020_08_16_02_43_01_in.mp4,16,8,2020,16/08/2020,1:44:04,LS1 Einflug,1,up,1,yes,Demmin,3,15
snip_2020_08_16_02_43_17_in.mp4,16,8,2020,16/08/2020,1:44:20,LS1 Einflug,1,up,1,yes,Demmin,3,15
snip_2020_08_16_02_44_37_in.mp4,16,8,2020,16/08/2020,1:45:40,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_02_53_47_in.mp4,16,8,2020,16/08/2020,1:54:49,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_03_00_44_in.mp4,16,8,2020,16/08/2020,2:01:46,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_03_03_56_in.mp4,16,8,2020,16/08/2020,2:04:59,LS1 Einflug,1,up,1,yes,Demmin,3,15
snip_2020_08_16_03_05_56_in.mp4,16,8,2020,16/08/2020,2:06:59,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_03_06_47_in.mp4,16,8,2020,16/08/2020,2:07:50,LS1 Einflug,1,loop,0,yes,Demmin,3,15
snip_2020_08_16_03_07_25_in.mp4,16,8,2020,16/08/2020,2:08:27,LS1 Einflug,1,up,1,yes,Demmin,3,15
snip_2020_08_16_03_09_44_in.mp4,16,8,2020,16/08/2020,2:10:46,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_03_12_01_in.mp4,16,8,2020,16/08/2020,2:13:04,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_03_16_29_in.mp4,16,8,2020,16/08/2020,2:17:31,LS1 Einflug,1,down,0,yes,Demmin,3,15
snip_2020_08_16_03_21_38_in.mp4,16,8,2020,16/08/2020,2:22:40,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_03_28_44_in.mp4,16,8,2020,16/08/2020,2:29:47,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_03_29_49_in.mp4,16,8,2020,16/08/2020,2:30:51,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_03_31_46_in.mp4,16,8,2020,16/08/2020,2:32:48,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_03_36_44_in.mp4,16,8,2020,16/08/2020,2:37:46,LS1 Einflug,1,down,1,yes,Demmin,3,15
snip_2020_08_16_03_42_16_in.mp4,16,8,2020,16/08/2020,2:43:19,LS1 Einflug,1,loop,0,yes,Demmin,3,15
snip_2020_08_16_04_39_36_in.mp4,16,8,2020,16/08/2020,3:40:39,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_04_57_26_in.mp4,16,8,2020,16/08/2020,3:58:29,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_16_21_07_51_in.mp4,16,8,2020,16/08/2020,20:08:59,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_17_00_40_55_in.mp4,16,8,2020,16/08/2020,23:42:04,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_17_00_44_07_in.mp4,16,8,2020,16/08/2020,23:45:16,LS1 Einflug,1,up,0,yes,Demmin,3,15
snip_2020_08_17_01_12_58_in.mp4,17,8,2020,17/08/2020,0:14:07,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_01_22_19_in.mp4,17,8,2020,17/08/2020,0:23:28,LS1 Einflug,1,loop,0,yes,Demmin,3,16
snip_2020_08_17_01_24_21_in.mp4,17,8,2020,17/08/2020,0:25:29,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_01_24_51_in.mp4,17,8,2020,17/08/2020,0:25:59,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_01_32_57_in.mp4,17,8,2020,17/08/2020,0:34:05,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_01_33_42_in.mp4,17,8,2020,17/08/2020,0:34:51,LS1 Einflug,1,right,0,yes,Demmin,3,16
snip_2020_08_17_01_36_27_in.mp4,17,8,2020,17/08/2020,0:37:35,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_01_37_14_in.mp4,17,8,2020,17/08/2020,0:38:22,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_01_42_42_in.mp4,17,8,2020,17/08/2020,0:43:50,LS1 Einflug,1,up,1,yes,Demmin,3,16
snip_2020_08_17_01_43_26_in.mp4,17,8,2020,17/08/2020,0:44:34,LS1 Einflug,1,up,1,yes,Demmin,3,16
snip_2020_08_17_01_44_13_in.mp4,17,8,2020,17/08/2020,0:45:22,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_01_44_16_in.mp4,17,8,2020,17/08/2020,0:45:24,LS1 Einflug,1,loop,1,yes,Demmin,3,16
snip_2020_08_17_01_45_14_in.mp4,17,8,2020,17/08/2020,0:46:23,LS1 Einflug,1,up,1,yes,Demmin,3,16
snip_2020_08_17_01_46_41_in.mp4,17,8,2020,17/08/2020,0:47:50,LS1 Einflug,1,loop,0,yes,Demmin,3,16
snip_2020_08_17_01_51_15_in.mp4,17,8,2020,17/08/2020,0:52:23,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_01_52_54_in.mp4,17,8,2020,17/08/2020,0:54:03,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_01_54_52_in.mp4,17,8,2020,17/08/2020,0:56:01,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_01_55_30_in.mp4,17,8,2020,17/08/2020,0:56:39,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_01_58_43_in.mp4,17,8,2020,17/08/2020,0:59:51,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_02_29_51_in.mp4,17,8,2020,17/08/2020,1:31:00,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_02_33_26_in.mp4,17,8,2020,17/08/2020,1:34:36,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_02_41_19_in.mp4,17,8,2020,17/08/2020,1:42:29,LS1 Einflug,1,loop,1,yes,Demmin,3,16
snip_2020_08_17_02_49_37_in.mp4,17,8,2020,17/08/2020,1:50:46,LS1 Einflug,1,up,1,yes,Demmin,3,16
snip_2020_08_17_02_55_46_in.mp4,17,8,2020,17/08/2020,1:56:55,LS1 Einflug,1,right,1,yes,Demmin,3,16
snip_2020_08_17_02_59_15_in.mp4,17,8,2020,17/08/2020,2:00:25,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_02_59_32_in.mp4,17,8,2020,17/08/2020,2:00:42,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_02_59_46_in.mp4,17,8,2020,17/08/2020,2:00:56,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_03_00_15_in.mp4,17,8,2020,17/08/2020,2:01:24,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_03_00_20_in.mp4,17,8,2020,17/08/2020,2:01:30,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_03_01_10_in.mp4,17,8,2020,17/08/2020,2:02:19,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_03_07_17_in.mp4,17,8,2020,17/08/2020,2:08:26,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_03_10_02_in.mp4,17,8,2020,17/08/2020,2:11:12,LS1 Einflug,1,right,1,yes,Demmin,3,16
snip_2020_08_17_03_11_14_in.mp4,17,8,2020,17/08/2020,2:12:23,LS1 Einflug,1,up,1,yes,Demmin,3,16
snip_2020_08_17_03_12_02_in.mp4,17,8,2020,17/08/2020,2:13:11,LS1 Einflug,1,up,1,yes,Demmin,3,16
snip_2020_08_17_03_14_30_in.mp4,17,8,2020,17/08/2020,2:15:39,LS1 Einflug,1,up,1,yes,Demmin,3,16
snip_2020_08_17_03_14_37_in.mp4,17,8,2020,17/08/2020,2:15:46,LS1 Einflug,1,loop,1,yes,Demmin,3,16
snip_2020_08_17_03_15_56_in.mp4,17,8,2020,17/08/2020,2:17:06,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_03_17_49_in.mp4,17,8,2020,17/08/2020,2:18:59,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_03_23_20_in.mp4,17,8,2020,17/08/2020,2:24:30,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_03_27_13_in.mp4,17,8,2020,17/08/2020,2:28:23,LS1 Einflug,1,up,1,yes,Demmin,3,16
snip_2020_08_17_03_27_53_in.mp4,17,8,2020,17/08/2020,2:29:02,LS1 Einflug,1,right,0,yes,Demmin,3,16
snip_2020_08_17_03_31_50_in.mp4,17,8,2020,17/08/2020,2:33:00,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_03_45_47_in.mp4,17,8,2020,17/08/2020,2:46:57,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_03_52_51_in.mp4,17,8,2020,17/08/2020,2:54:00,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_03_56_41_in.mp4,17,8,2020,17/08/2020,2:57:51,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_04_10_52_in.mp4,17,8,2020,17/08/2020,3:12:01,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_04_13_04_in.mp4,17,8,2020,17/08/2020,3:14:14,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_04_26_07_in.mp4,17,8,2020,17/08/2020,3:27:16,LS1 Einflug,1,right,0,yes,Demmin,3,16
snip_2020_08_17_04_26_18_in.mp4,17,8,2020,17/08/2020,3:27:28,LS1 Einflug,1,right,0,yes,Demmin,3,16
snip_2020_08_17_04_29_38_in.mp4,17,8,2020,17/08/2020,3:30:48,LS1 Einflug,1,up,0,yes,Demmin,3,16
snip_2020_08_17_04_39_58_in.mp4,17,8,2020,17/08/2020,3:41:07,LS1 Einflug,1,down,0,yes,Demmin,3,16
snip_2020_08_17_04_48_57_in.mp4,17,8,2020,17/08/2020,3:50:07,LS1 Einflug,1,down,0,yes,Demmin,3,16
snip_2020_08_17_04_58_33_in.mp4,17,8,2020,17/08/2020,3:59:43,LS1 Einflug,1,up,0,yes,Demmin,3,16
