Video file,Day,Month,Year,Date,Time,Event,EventC,Direction,Social,Flash,Site,Week,TimeofYear
snip_2020_08_14_21_07_27_in.mp4,14,8,2020,14/08/2020,20:07:29,LS1 Einflug,1,innerloop,0,no,Friedland,3,13
snip_2020_08_14_21_07_45_in.mp4,14,8,2020,14/08/2020,20:07:47,LS1 Einflug,1,innerloop,0,no,Friedland,3,13
snip_2020_08_14_21_13_20_in.mp4,14,8,2020,14/08/2020,20:13:22,LS1 Einflug,1,innerloop,0,no,Friedland,3,13
snip_2020_08_14_21_13_30_in.mp4,14,8,2020,14/08/2020,20:13:33,LS1 Einflug,1,innerloop,0,no,Friedland,3,13
,14,8,2020,14/08/2020,20:13:36,LS1 Einflug,1,innerloop,0,no,Friedland,3,13
snip_2020_08_14_21_13_43_in.mp4,14,8,2020,14/08/2020,20:13:46,LS1 Einflug,1,innerloop,1,no,Friedland,3,13
,14,8,2020,14/08/2020,20:13:46,LS1 Einflug,NA,NA,NA,no,Friedland,3,13
snip_2020_08_14_21_13_51_in.mp4,14,8,2020,14/08/2020,20:13:53,LS1 Einflug,1,innerloop,1,no,Friedland,3,13
snip_2020_08_14_21_13_55_in.mp4,14,8,2020,14/08/2020,20:13:58,LS1 Einflug,1,innerloop,1,no,Friedland,3,13
snip_2020_08_14_21_14_00_in.mp4,14,8,2020,14/08/2020,20:14:02,LS1 Einflug,1,innerloop,0,no,Friedland,3,13
,14,8,2020,14/08/2020,20:14:03,LS1 Einflug,NA,NA,NA,no,Friedland,3,13
,14,8,2020,14/08/2020,20:14:13,LS1 Einflug,1,innerloop,0,no,Friedland,3,13
,14,8,2020,14/08/2020,20:14:21,LS1 Einflug,1,innerloop,0,no,Friedland,3,13
snip_2020_08_14_21_28_20_in.mp4,14,8,2020,14/08/2020,20:28:22,LS1 Einflug,1,innerloop,1,no,Friedland,3,13
snip_2020_08_14_21_33_15_in.mp4,14,8,2020,14/08/2020,20:33:18,LS1 Einflug,1,innerloop,0,no,Friedland,3,13
,14,8,2020,14/08/2020,20:33:18,LS1 Einflug,NA,NA,NA,no,Friedland,3,13
